,0,1,2,3,4,5,6,7,8,9
0,0.0,1.9538686350944234e-37,2.649288271541298e-35,2.567288666034088e-34,3.970070744419229e-34,1.5246008286813803e-34,9.501178433567197e-36,5.862243429080385e-37,2.2265226210676625e-38,0.0
1,1.3113571292832498e-38,1.402970366798954e-32,8.408166145367007e-31,1.6727961275885066e-30,1.0107961040412867e-30,3.8811413407717867e-31,1.6124882568372588e-32,5.8591330347762e-34,2.4789914585289516e-35,1.349446828380737e-36
2,5.550815532292825e-34,3.0534334893589916e-29,1.60526423427236e-28,4.033022736700631e-29,2.28452947531753e-30,5.957217390520117e-32,6.919857617060493e-34,1.2382392373129455e-35,7.94732833521057e-37,9.332138779537776e-39
3,8.939056929458394e-31,2.5393629641105558e-27,8.526570244295393e-28,5.120622877377481e-29,3.4480768966293854e-31,3.6909566542990394e-34,2.5908342181027664e-37,1.8452960350454558e-39,1.8906528204513026e-37,9.133818008752628e-41
4,6.611825368317144e-29,6.252893303086565e-27,4.891426959509932e-28,6.779078043255181e-30,3.4581895176124384e-33,3.969055679360895e-38,2.2601554440342333e-43,5.836659073381814e-41,3.787555882743501e-40,2.4867705123916175e-45
5,1.5567734386699105e-28,3.1471880922301953e-27,1.8270618586411093e-28,7.8544492688965425e-31,3.889047432846852e-35,3.899057484610951e-42,2.4688710659013983e-44,1.9236612003608334e-44,1.9038480261387147e-43,1.8950789088110613e-50
6,5.09936994213112e-29,6.701103057447932e-28,3.6284342283541566e-29,1.007626628420448e-31,1.9703095958091714e-36,2.433683646258e-42,1.7012300089759597e-46,1.566319137338997e-49,8.098204384887909e-45,1.2184594348637178e-52
7,4.9029483793082386e-30,8.9113734526884e-29,6.941689182676376e-30,3.471169265129723e-32,3.567020281346283e-35,1.184554575062894e-38,4.121434742205503e-42,1.0125325912676725e-43,2.315028953101551e-42,2.304365937867171e-49
8,1.5549649805465563e-31,1.0111637115987949e-29,1.943885791817978e-30,9.15358321183275e-32,5.856597177852857e-34,2.2878216644591195e-36,2.6631804111443165e-38,3.0095401832569083e-39,2.3026249096040904e-39,1.5118192057285733e-44
9,0.0,1.8219380231354e-31,1.1319597266798404e-31,3.27945727408254e-33,3.4822828786953894e-36,1.1052556288289385e-39,1.3089949271078137e-42,5.736952308190381e-44,1.1317762450831232e-43,0.0
